,0,1,2
534,123.0,35.0,1.0
535,123.0,40.0,1.0
536,123.0,45.0,1.0
537,123.0,50.0,1.0
538,123.0,53.0,1.0
539,124.0,25.0,3.0
540,124.0,27.0,2.0
541,124.0,28.0,1.0
542,124.0,50.0,1.0
543,125.0,25.0,1.0
544,125.0,32.0,1.0
545,125.0,50.0,1.0
546,126.0,24.0,1.0
547,126.0,28.0,1.0
548,126.0,30.0,1.0
549,126.0,32.0,1.0
550,126.0,35.0,1.0
551,127.0,30.0,3.0
552,127.0,40.0,1.0
553,127.0,53.0,1.0
554,128.0,27.0,1.0
555,128.0,30.0,1.0
556,128.0,35.0,1.0
557,129.0,22.0,1.0
558,129.0,32.0,1.0
559,129.0,50.0,1.0
560,130.0,22.0,1.0
561,130.0,24.0,1.0
562,130.0,28.0,2.0
563,130.0,40.0,2.0
564,130.0,45.0,1.0
565,130.0,50.0,2.0
566,131.0,20.0,1.0
567,131.0,23.0,2.0
568,131.0,26.0,1.0
569,131.0,30.0,1.0
570,131.0,40.0,2.0
571,132.0,30.0,1.0
572,132.0,32.0,1.0
573,133.0,40.0,1.0
574,133.0,45.0,1.0
575,133.0,50.0,1.0
576,134.0,19.0,1.0
577,134.0,24.0,1.0
578,134.0,50.0,1.0
579,135.0,13.0,1.0
580,135.0,21.0,1.0
581,135.0,25.0,1.0
582,135.0,26.0,1.0
583,135.0,27.0,1.0
584,135.0,30.0,1.0
585,135.0,32.0,1.0
586,136.0,20.0,1.0
587,136.0,24.0,2.0
588,136.0,40.0,2.0
589,136.0,50.0,1.0
590,137.0,25.0,1.0
591,137.0,26.0,1.0
592,137.0,32.0,1.0
593,137.0,35.0,1.0
594,137.0,50.0,1.0
595,138.0,17.0,1.0
596,138.0,20.0,1.0
597,138.0,22.0,1.0
598,138.0,33.0,1.0
599,138.0,38.0,1.0
600,139.0,20.0,1.0
601,139.0,30.0,1.0
602,140.0,28.0,1.0
603,140.0,40.0,1.0
604,140.0,50.0,2.0
605,141.0,23.0,1.0
606,141.0,24.0,1.0
607,141.0,25.0,1.0
608,141.0,29.0,1.0
609,141.0,32.0,1.0
610,141.0,35.0,1.0
611,142.0,18.0,2.0
612,142.0,25.0,1.0
613,142.0,30.0,1.0
614,142.0,32.0,1.0
615,142.0,40.0,1.0
616,142.0,45.0,1.0
617,143.0,20.0,1.0
618,143.0,21.0,1.0
619,143.0,28.0,1.0
620,143.0,30.0,1.0
621,143.0,50.0,1.0
622,144.0,23.0,1.0
623,144.0,26.0,1.0
624,144.0,27.0,1.0
625,144.0,29.0,1.0
626,144.0,30.0,1.0
627,144.0,31.0,1.0
628,144.0,32.0,1.0
629,144.0,40.0,1.0
630,144.0,45.0,1.0
631,145.0,22.0,1.0
632,145.0,23.0,1.0
633,145.0,27.0,2.0
634,145.0,32.0,1.0
635,145.0,38.0,1.0
636,145.0,50.0,1.0
637,146.0,23.0,1.0
638,147.0,22.0,2.0
